work_id,assigned_topic_hard,top1_topic,top1_pct,top2_topic,top2_pct,top3_topic,top3_pct,unexplained_pct
W00215,0,0,32.71,5,8.61,2,6.05,48.81
W00216,20,19,19.33,20,18.81,1,10.94,49.52
W00217,3,3,42.96,19,4.31,0,0.0,52.73
W00218,1,1,26.72,0,14.93,15,7.65,47.07
W00219,3,3,29.54,10,10.77,23,2.34,57.36
W00220,8,8,43.01,0,4.7,2,3.76,44.69
W00221,3,3,32.23,0,14.95,22,0.0,52.82
W00222,3,3,21.89,0,13.1,8,10.5,50.16
W00223,1,1,36.26,0,7.96,22,0.0,55.79
W00224,-1,5,27.19,1,14.31,14,10.21,46.97
W00226,-1,13,11.62,21,10.43,9,7.45,54.5
W00227,-1,15,18.76,9,10.91,24,6.98,49.5
W00229,-1,12,26.22,23,10.35,11,5.58,49.02
W00230,-1,5,26.64,23,8.15,1,6.34,58.07
W00232,5,5,29.84,3,6.51,10,3.95,59.7
W00233,-1,23,22.04,4,20.89,24,5.5,51.34
W00234,-1,6,19.84,23,18.22,3,6.64,48.32
W00235,1,1,28.54,19,7.53,15,5.98,54.06
W00236,-1,13,18.34,20,17.02,22,11.0,45.53
W00237,1,21,21.57,1,13.28,22,8.95,46.43
W00238,-1,4,21.75,22,9.07,1,6.87,46.2
W00239,1,1,22.23,5,16.64,24,9.14,48.11
W00240,3,20,21.31,3,18.68,16,4.66,48.79
W00241,3,3,29.43,6,18.04,19,11.02,41.51
W00243,9,9,35.66,10,19.1,0,0.0,45.24
W00245,4,4,38.63,0,4.94,18,3.94,52.0
W00246,0,0,35.06,9,10.62,2,6.19,42.79
W00247,3,3,26.39,18,10.7,10,6.07,56.84
W00248,-1,9,18.22,0,14.12,11,9.37,39.61
W00249,4,4,21.83,22,18.64,2,6.24,49.56
W00250,2,20,25.89,3,11.16,2,10.75,47.19
W00251,-1,1,40.98,20,8.14,19,3.05,44.06
W00252,-1,9,22.18,5,20.39,21,3.23,49.76
W00253,1,1,39.23,8,10.84,15,3.68,40.99
W00254,10,10,36.29,19,11.26,1,1.99,49.98
W00255,-1,0,12.0,23,10.11,2,9.17,53.81
W00256,-1,22,37.14,4,7.32,0,0.0,55.54
W00257,-1,18,15.94,0,9.87,15,8.25,50.45
W00258,-1,18,15.97,14,10.94,2,8.87,46.39
W00259,-1,3,34.23,6,6.67,11,5.17,47.91
W00260,-1,4,13.51,2,9.69,24,8.55,55.22
W00261,-1,18,20.98,23,13.17,2,6.19,51.41
W00262,-1,18,24.97,22,13.0,23,3.88,52.82
W00263,2,2,35.69,18,6.75,16,5.42,45.8
W00264,9,9,36.54,10,5.52,1,3.6,52.48
W00265,-1,14,18.29,13,16.95,18,12.16,52.6
W00266,9,9,31.54,4,8.49,15,3.06,52.51
W00267,-1,18,35.72,0,10.17,20,6.04,46.3
W00268,-1,9,19.84,18,13.61,13,12.99,38.44
W00269,-1,18,18.59,9,11.88,20,6.55,49.76
W00270,-1,9,24.12,13,10.83,22,8.45,45.01
W00272,1,1,26.74,19,11.64,20,7.23,47.85
W00273,3,3,31.83,22,15.58,4,7.05,44.93
W00274,18,18,43.18,9,8.98,4,6.48,34.68
W00275,0,0,40.68,18,18.29,22,0.0,41.03
W00276,9,9,39.84,21,8.27,18,1.86,48.78
W00277,-1,24,15.91,15,13.76,21,9.62,42.36
W00278,-1,18,16.47,14,10.17,13,5.2,52.43
W00281,-1,15,14.72,9,12.42,14,12.27,48.54
W00282,-1,20,12.33,18,8.73,13,8.24,47.53
W00283,-1,3,22.85,7,13.11,14,9.72,49.17
W00284,-1,18,20.35,6,13.93,10,10.64,41.71
W00285,-1,4,13.54,0,7.93,3,6.75,51.63
W00286,-1,9,16.55,6,9.27,1,8.09,62.62
W00287,12,12,37.64,5,7.68,21,6.33,47.36
W00288,3,3,31.25,9,10.6,11,3.02,55.13
W00289,5,6,24.79,5,17.62,23,4.99,45.05
W00290,-1,18,18.52,12,12.96,4,6.85,61.55
W00291,-1,9,18.91,22,16.05,23,11.91,50.94
W00292,-1,11,38.22,4,6.23,21,2.91,51.64
W00293,-1,7,11.45,10,11.29,17,10.58,51.25
W00294,-1,15,18.34,12,12.58,11,11.51,42.38
W00295,-1,5,19.84,2,14.89,9,2.0,61.53
W00296,7,7,26.3,17,8.13,24,6.42,51.14
W00297,11,11,37.24,20,10.56,23,6.07,45.18
W00298,1,1,29.4,19,13.07,3,8.15,49.24
W00299,-1,3,18.3,20,12.08,0,12.06,49.41
W00300,-1,2,19.26,9,14.08,11,10.38,46.11
W00301,-1,8,16.02,11,12.01,0,5.29,58.25
W00302,1,1,30.78,8,10.0,20,0.93,57.99
W00303,0,0,49.79,22,0.0,21,0.0,50.21
W00304,0,0,18.04,11,10.71,13,5.57,56.84
W00305,-1,6,26.02,23,12.62,3,6.44,47.14
W00306,6,6,26.08,7,20.16,24,3.97,49.29
W00307,-1,8,17.08,23,13.0,22,8.13,52.54
W00308,8,8,37.5,15,9.76,10,4.95,47.79
W00309,6,6,20.57,5,11.46,15,8.3,49.32
W00310,-1,22,28.96,4,12.29,9,3.65,55.1
W00313,6,17,15.69,1,9.5,13,6.92,45.57
W00314,13,13,34.14,21,14.56,6,7.99,40.84
W00315,12,12,37.72,1,15.63,13,3.94,42.71
