work_id,poet_id,작가,책 제목,출판사,시리즈,번호,출판년도,작품 제목,등단년도,등단매체,등단매체_정규화,등단경로,등단장르,어절수
W00064,P0294,이제니,왜냐하면 우리는 우리를 모르고,문학과지성사,문학과지성 시인선,460,2014,비산의 바람,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,165
W00066,P0294,이제니,왜냐하면 우리는 우리를 모르고,문학과지성사,문학과지성 시인선,460,2014,흑과 백의 시간 속에 앉아,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,119
W00068,P0294,이제니,왜냐하면 우리는 우리를 모르고,문학과지성사,문학과지성 시인선,460,2014,검은 것 속의 검은 것,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,219
W00071,P0294,이제니,왜냐하면 우리는 우리를 모르고,문학과지성사,문학과지성 시인선,460,2014,마지막은 왼손으로,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,212
W00074,P0294,이제니,왜냐하면 우리는 우리를 모르고,문학과지성사,문학과지성 시인선,460,2014,왜냐하면 우리는 우리를 모르고,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,140
W00075,P0294,이제니,왜냐하면 우리는 우리를 모르고,문학과지성사,문학과지성 시인선,460,2014,밤이 흐를 때 우리는,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,169
W00076,P0294,이제니,왜냐하면 우리는 우리를 모르고,문학과지성사,문학과지성 시인선,460,2014,이것이 우리의 끝은 아니야,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,226
W00077,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,페루,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,258
W00078,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,분홍 설탕 코끼리,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,205
W00079,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,밤의 공벌레,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,109
W00080,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,코다의 노래,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,186
W00081,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,카리포니아,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,194
W00083,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,모퉁이를 돌다,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,135
W00084,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,아름다운 트레이시와 나의 마지막 늑대,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,170
W00085,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,오리와 나,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,164
W00086,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,작고 흰 공,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,197
W00087,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,검버섯,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,169
W00088,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,나의 귀에 너의 사과가,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,152
W00089,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,창문 사람,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,94
W00090,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,나선의 바람,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,125
W00091,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,눈 위의 앵무,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,114
W00092,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,미리케의 노우트,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,159
W00093,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,블랭크 하치,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,221
W00094,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,들판의 홀리,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,215
W00095,P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,발 없는 새,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,249
W00096,P0248,이다희,시 창작 스터디,문학동네,문학동네 시인선,138,2020,( ),2017,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,172
W00097,P0248,이다희,시 창작 스터디,문학동네,문학동네 시인선,138,2020,새벽 네시 삼십분의 알람,2017,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,134
W00098,P0248,이다희,시 창작 스터디,문학동네,문학동네 시인선,138,2020,모래시계 장난,2017,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,186
W00099,P0246,이기인,어깨 위로 떨어지는 편지,창비,창비시선,316,2010,달의 검은 눈물이 흘러내리는 밤,2000,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,84
W00100,P0246,이기인,어깨 위로 떨어지는 편지,창비,창비시선,316,2010,느린 노래가 지나가는 길,2000,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,106
W00101,P0246,이기인,어깨 위로 떨어지는 편지,창비,창비시선,316,2010,얼굴이 네모난 아이,2000,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,135
W00102,P0246,이기인,어깨 위로 떨어지는 편지,창비,창비시선,316,2010,철조망에 걸린 소녀,2000,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,107
W00103,P0232,윤석정,오페라 미용실,민음사,민음의 시,159,2009,물렁물렁한 물고기,2004,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,111
W00104,P0232,윤석정,오페라 미용실,민음사,민음의 시,159,2009,난해한 독서,2004,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,159
W00105,P0232,윤석정,오페라 미용실,민음사,민음의 시,159,2009,발가락과 나뭇잎,2004,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,109
W00106,P0232,윤석정,오페라 미용실,민음사,민음의 시,159,2009,레슬러 부부의 왈츠,2004,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,156
W00107,P0232,윤석정,오페라 미용실,민음사,민음의 시,159,2009,파리,2004,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,80
W00108,P0232,윤석정,오페라 미용실,민음사,민음의 시,159,2009,문자 메시지에 대하여,2004,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,75
W00109,P0232,윤석정,오페라 미용실,민음사,민음의 시,159,2009,어느 날 갑자기-1999년 식목일,2004,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,127
W00112,P0143,박지일,물보라,민음사,민음의 시,326,2024,물보라,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,204
W00113,P0143,박지일,물보라,민음사,민음의 시,326,2024,물보라,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,111
W00114,P0143,박지일,물보라,민음사,민음의 시,326,2024,물보라,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,30
W00115,P0143,박지일,물보라,민음사,민음의 시,326,2024,물보라,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,57
W00117,P0143,박지일,물보라,민음사,민음의 시,326,2024,물보라,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,122
W00118,P0143,박지일,물보라,민음사,민음의 시,326,2024,물보라,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,136
W00119,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 1일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,88
W00120,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 1.3일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,2
W00121,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 2일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,99
W00122,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 2.4일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,110
W00123,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 3일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,66
W00125,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 4일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,90
W00126,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 4.3일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,98
W00127,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 6일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,49
W00128,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 6.4일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,45
W00129,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 7일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,57
W00130,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 7.2일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,83
W00131,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 8일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,74
W00132,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 9일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,89
W00133,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 9.7일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,78
W00134,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 10일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,84
W00135,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 10.8일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,102
W00136,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 11일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,91
W00137,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 11.3일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,81
W00138,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 12일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,94
W00139,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 12.6일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,72
W00140,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 13일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,89
W00141,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 13.8일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,78
W00142,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 14일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,50
W00143,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 14.6일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,73
W00144,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 15일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,51
W00145,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 15.3일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,45
W00146,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 16일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,73
W00147,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 17일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,70
W00148,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 17.8일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,90
W00149,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 18일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,85
W00150,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 18.7일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,90
W00151,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 19일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,89
W00152,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 19.4일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,79
W00153,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 20일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,70
W00154,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 20.1일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,63
W00155,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 21일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,85
W00156,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 21.7일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,79
W00157,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 22일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,102
W00158,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 22.9일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,70
W00159,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 23일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,97
W00160,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 23.4일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,86
W00161,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 24.5일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,80
W00162,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 25일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,74
W00163,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 25.8일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,71
W00164,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 26일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,71
W00165,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 26.2일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,107
W00166,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 27일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,58
W00167,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 27.4일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,72
W00168,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 28일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,69
W00169,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 28.9일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,70
W00170,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 29일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,73
W00171,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 29.3일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,106
W00172,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 30일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,85
W00173,P0143,박지일,물보라,민음사,민음의 시,326,2024,11월 30.1일,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,54
W00174,P0140,박주택,시간의 동공,문학과지성사,문학과지성 시인선,368,2009,사형수들의 공작품,1986,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,72
W00175,P0140,박주택,시간의 동공,문학과지성사,문학과지성 시인선,368,2009,점자,1986,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,55
W00176,P0140,박주택,시간의 동공,문학과지성사,문학과지성 시인선,368,2009,고양이,1986,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,81
W00177,P0140,박주택,또 하나의 지구가 필요할 때,문학과지성사,문학과지성 시인선,436,2013,증권거래소,1986,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,159
W00178,P0140,박주택,또 하나의 지구가 필요할 때,문학과지성사,문학과지성 시인선,436,2013,강변 산부인과 - 부재만이 아름답고 모든 사라짐만이 충만한 환영,1986,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,133
W00179,P0140,박주택,또 하나의 지구가 필요할 때,문학과지성사,문학과지성 시인선,436,2013,기념비,1986,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,177
W00180,P0140,박주택,또 하나의 지구가 필요할 때,문학과지성사,문학과지성 시인선,436,2013,가족 심리극 - 우주에 지구 같은 곳이 또 있다면?,1986,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,106
W00181,P0140,박주택,또 하나의 지구가 필요할 때,문학과지성사,문학과지성 시인선,436,2013,복권 판매소,1986,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,96
W00182,P0062,김승희,단무지와 베이컨의 진실한 사람,창비,창비시선,457,2021,"인류의 명작, 어머니",1973,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,181
W00183,P0062,김승희,빗자루를 타고 달리는 웃음,민음사,민음의 시,99,2000,사랑 4-눈보라 속에는,1973,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,81
W00184,P0062,김승희,빗자루를 타고 달리는 웃음,민음사,민음의 시,99,2000,딴사람,1973,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,267
W00185,P0062,김승희,빗자루를 타고 달리는 웃음,민음사,민음의 시,99,2000,산은,1973,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,173
W00186,P0062,김승희,빗자루를 타고 달리는 웃음,민음사,민음의 시,99,2000,중간 역,1973,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,195
W00187,P0062,김승희,빗자루를 타고 달리는 웃음,민음사,민음의 시,99,2000,얼음 독수리가 녹을 동안,1973,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,227
W00188,P0062,김승희,빗자루를 타고 달리는 웃음,민음사,민음의 시,99,2000,푸른 상치들이 있는 풍경,1973,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,77
W00189,P0352,조영석,토이 크레인,문학동네,문학동네 시인선,46,2013,번데기,2004,계간 문학동네,문학동네,매체 및 문학상,시,79
W00190,P0352,조영석,토이 크레인,문학동네,문학동네 시인선,46,2013,퇴화의 흔적,2004,계간 문학동네,문학동네,매체 및 문학상,시,120
W00191,P0352,조영석,토이 크레인,문학동네,문학동네 시인선,46,2013,옷코토누시,2004,계간 문학동네,문학동네,매체 및 문학상,시,190
W00192,P0111,마윤지,개구리극장,민음사,민음의 시,320,2024,사과는 조금 좋다.,2022,계간 파란 신인상,계간 파란 신인상,신인상,시,156
W00193,P0111,마윤지,개구리극장,민음사,민음의 시,320,2024,혜미의 아파트,2022,계간 파란 신인상,계간 파란 신인상,신인상,시,208
W00194,P0111,마윤지,개구리극장,민음사,민음의 시,320,2024,생일,2022,계간 파란 신인상,계간 파란 신인상,신인상,시,157
W00195,P0111,마윤지,개구리극장,민음사,민음의 시,320,2024,사과는 조금 좋다,2022,계간 파란 신인상,계간 파란 신인상,신인상,시,156
W00196,P0111,마윤지,개구리극장,민음사,민음의 시,320,2024,생일,2022,계간 파란 신인상,계간 파란 신인상,신인상,시,156
